student_id,avg_sgpa,sgpa_std,trend_slope,completed_credits,remaining_credits,target_cgpa,required_sgpa,performance_level,chance_label
208,6.66,0.51,0.328,96.0,40.0,6.68,6.73,Average,Medium
209,4.49,0.36,-0.154,130.0,68.0,5.66,7.9,Below Average,Low
210,5.59,0.17,-0.055,62.0,88.0,6.85,7.74,Average,Low
211,8.93,0.33,-0.135,56.0,64.0,9.72,10.41,Excellent,Low
212,4.75,0.32,0.021,108.0,70.0,6.63,9.53,Below Average,Low
213,8.85,0.39,-0.238,126.0,22.0,9.13,10.73,Excellent,Low
214,7.88,0.28,-0.55,52.0,84.0,7.6,7.43,Good,Medium
215,4.45,0.29,0.065,66.0,100.0,6.21,7.37,Below Average,Low
216,9.08,0.5,-0.068,122.0,114.0,8.22,7.3,Excellent,High
217,5.51,0.44,0.195,92.0,94.0,6.3,7.07,Average,Low
218,7.59,0.35,0.425,62.0,52.0,7.87,8.21,Good,Medium
219,6.55,0.42,0.018,110.0,64.0,8.48,11.8,Average,Low
220,6.62,0.81,0.489,104.0,22.0,8.44,17.04,Average,Low
221,7.76,0.67,0.755,58.0,18.0,8.75,11.94,Good,Low
222,6.58,0.45,0.286,106.0,48.0,6.78,7.21,Average,Medium
223,4.61,0.09,-0.04,66.0,24.0,6.32,11.01,Below Average,Low
224,5.41,0.63,0.349,144.0,106.0,5.14,4.77,Below Average,High
225,7.81,0.59,0.211,106.0,116.0,7.62,7.44,Good,High
226,4.3,0.62,-0.75,62.0,112.0,5.79,6.61,Below Average,Low
227,5.54,0.42,0.185,68.0,62.0,6.71,7.99,Average,Low
228,5.56,0.55,0.197,124.0,38.0,7.38,13.32,Average,Low
229,7.05,0.63,1.26,42.0,20.0,6.2,4.42,Good,High
230,7.68,0.36,0.165,116.0,120.0,8.58,9.45,Good,Low
231,6.08,0.37,0.002,112.0,64.0,5.52,4.54,Average,High
232,8.72,0.34,-0.137,126.0,106.0,9.28,9.95,Excellent,Low
233,8.64,0.73,0.351,144.0,82.0,8.34,7.82,Excellent,High
234,7.6,0.36,0.17,130.0,68.0,8.7,10.8,Good,Low
235,6.37,0.39,0.066,110.0,78.0,5.56,4.41,Average,High
236,5.22,0.17,-0.064,76.0,36.0,5.4,5.77,Below Average,Medium
237,7.73,0.51,-1.03,44.0,24.0,7.35,6.66,Good,Low
238,5.48,0.18,0.215,68.0,62.0,5.73,6.01,Below Average,Medium
239,5.23,0.63,-0.321,92.0,20.0,7.2,16.25,Below Average,Low
240,5.61,0.49,0.48,64.0,20.0,7.11,11.91,Average,Low
241,6.16,0.38,0.011,88.0,50.0,7.87,10.88,Average,Low
242,4.9,0.23,-0.016,100.0,110.0,6.08,7.16,Below Average,Low
243,8.67,0.37,-0.012,136.0,76.0,8.8,9.02,Excellent,Medium
244,4.93,0.24,-0.24,56.0,26.0,5.87,7.89,Below Average,Low
245,9.17,0.07,-0.05,60.0,80.0,8.27,7.6,Excellent,High
246,9.56,0.41,0.221,140.0,40.0,9.35,8.61,Excellent,High
247,6.44,0.44,-0.175,72.0,80.0,8.38,10.12,Average,Low
248,6.19,0.43,-0.121,90.0,68.0,7.05,8.19,Average,Low
249,9.63,0.21,0.068,110.0,84.0,9.28,8.82,Excellent,High
250,7.99,0.45,0.149,98.0,116.0,8.41,8.76,Good,Medium
251,7.44,0.29,-0.228,90.0,22.0,7.21,6.27,Good,High
252,5.45,0.2,-0.13,60.0,38.0,5.52,5.64,Below Average,Medium
253,4.93,0.52,0.233,116.0,104.0,5.27,5.65,Below Average,Medium
254,5.91,0.38,0.206,94.0,104.0,5.53,5.19,Average,High
255,7.63,0.08,0.15,50.0,68.0,8.2,8.62,Good,Medium
256,5.78,0.04,0.09,40.0,48.0,6.35,6.83,Average,Medium
257,5.9,0.27,0.55,38.0,100.0,5.89,5.89,Average,High
258,8.66,0.3,-0.012,108.0,116.0,7.79,6.98,Excellent,High
259,9.51,0.33,-0.055,88.0,98.0,9.05,8.64,Excellent,High
260,5.65,0.02,0.03,42.0,86.0,7.06,7.75,Average,Low
261,5.67,0.79,0.321,132.0,120.0,6.73,7.9,Average,Low
262,5.46,0.2,0.39,36.0,116.0,5.5,5.51,Below Average,High
263,9.2,0.56,0.22,128.0,24.0,9.85,13.32,Excellent,Low
264,5.04,0.2,-0.02,62.0,44.0,7.01,9.79,Below Average,Low
265,9.45,0.46,-0.565,62.0,72.0,8.99,8.59,Excellent,Medium
266,5.88,0.2,-0.118,90.0,72.0,5.95,6.04,Average,Medium
267,9.04,0.12,-0.065,62.0,120.0,8.38,8.04,Excellent,High
268,5.59,0.25,0.5,44.0,24.0,7.42,10.77,Average,Low
269,4.65,0.17,0.142,92.0,46.0,5.74,7.91,Below Average,Low
270,8.38,0.2,0.011,110.0,84.0,7.85,7.16,Good,High
271,9.63,0.29,0.129,84.0,18.0,9.4,8.33,Excellent,High
272,8.15,0.55,0.207,106.0,44.0,8.63,9.78,Good,Low
273,6.15,0.26,-0.061,118.0,78.0,5.63,4.84,Average,High
274,7.89,0.28,-0.04,72.0,18.0,9.56,16.24,Good,Low
275,6.2,0.37,-0.11,126.0,20.0,7.69,17.09,Average,Low
276,6.49,0.27,-0.081,82.0,100.0,7.72,8.73,Average,Low
277,4.96,0.42,-0.83,42.0,58.0,6.47,7.56,Below Average,Low
278,7.15,0.59,0.281,126.0,48.0,8.33,11.44,Good,Low
279,7.05,0.19,-0.015,94.0,92.0,7.07,7.09,Good,Medium
280,9.04,0.39,0.211,90.0,22.0,9.42,10.97,Excellent,Low
281,7.69,0.2,-0.25,64.0,86.0,8.82,9.66,Good,Low
282,9.26,0.14,0.28,46.0,64.0,9.11,9.0,Excellent,High
283,6.12,0.42,-0.34,76.0,42.0,6.1,6.07,Average,Medium
284,7.33,0.38,0.06,128.0,40.0,7.73,9.0,Good,Low
285,6.54,0.26,-0.23,68.0,46.0,6.54,6.54,Average,Medium
286,9.48,0.43,0.162,126.0,26.0,8.73,5.1,Excellent,High
287,6.52,0.36,0.168,142.0,50.0,6.33,5.8,Average,High
288,8.63,0.45,-0.52,64.0,98.0,8.7,8.74,Excellent,Low
289,5.19,0.39,-0.029,132.0,110.0,7.0,9.17,Below Average,Low
290,9.21,0.57,0.313,116.0,86.0,8.93,8.56,Excellent,High
291,8.38,0.37,-0.2,64.0,94.0,8.14,7.98,Good,Medium
292,5.4,0.02,0.05,38.0,82.0,6.21,6.58,Below Average,Low
293,9.55,0.17,-0.105,64.0,72.0,9.65,9.74,Excellent,Medium
294,5.0,0.33,-0.67,50.0,94.0,5.62,5.95,Below Average,Low
295,5.37,0.45,-0.162,130.0,42.0,7.33,13.4,Below Average,Low
296,7.25,0.06,-0.044,88.0,26.0,8.54,12.9,Good,Low
297,7.3,0.38,0.76,42.0,114.0,7.09,7.01,Good,High
298,7.59,0.25,0.097,126.0,62.0,9.42,13.14,Good,Low
299,4.85,0.11,0.22,42.0,116.0,6.11,6.57,Below Average,Low
300,5.43,0.2,0.41,44.0,18.0,5.84,6.83,Below Average,Medium
301,6.03,0.37,0.106,110.0,64.0,7.64,10.4,Average,Low
302,6.84,0.38,0.3,66.0,92.0,5.99,5.38,Average,High
303,9.1,0.55,0.318,104.0,66.0,8.22,6.84,Excellent,High
304,8.31,0.48,0.086,134.0,114.0,7.96,7.55,Good,High
305,5.43,0.36,-0.317,88.0,88.0,6.08,6.73,Below Average,Low
306,9.35,0.41,0.324,84.0,68.0,9.54,9.77,Excellent,Medium
307,6.6,0.35,-0.127,130.0,106.0,5.71,4.61,Average,High
308,8.05,0.47,-0.214,148.0,48.0,7.7,6.61,Good,High
309,9.0,0.6,0.21,72.0,82.0,9.45,9.84,Excellent,Medium
310,7.15,0.35,0.195,134.0,50.0,8.99,13.92,Good,Low
311,5.53,0.43,-0.525,78.0,44.0,5.8,6.28,Average,Low
312,5.54,0.57,0.195,84.0,112.0,5.87,6.12,Average,Medium
313,4.8,0.28,0.56,50.0,112.0,5.98,6.51,Below Average,Medium
314,7.97,0.23,0.46,52.0,44.0,7.82,7.64,Good,High
315,5.29,0.43,0.525,60.0,44.0,6.54,8.25,Below Average,Low
316,9.13,0.35,0.117,108.0,58.0,8.79,8.15,Excellent,High
317,8.38,0.03,0.05,38.0,44.0,8.06,7.79,Good,High
318,9.23,0.26,0.52,50.0,24.0,8.56,7.16,Excellent,High
319,5.74,0.55,0.373,114.0,62.0,5.5,5.07,Average,High
320,8.27,0.24,0.117,90.0,40.0,9.84,13.36,Good,Low
321,8.8,0.46,0.216,136.0,18.0,9.61,15.75,Excellent,Low
322,7.63,0.47,-0.212,98.0,50.0,7.04,5.88,Good,High
323,9.48,0.42,0.177,132.0,110.0,9.59,9.72,Excellent,Medium
324,6.11,0.34,-0.229,86.0,62.0,7.77,10.07,Average,Low
325,8.19,0.12,-0.25,50.0,68.0,8.09,8.02,Good,Medium
326,5.44,0.29,-0.105,64.0,62.0,6.83,8.27,Below Average,Low
327,7.64,0.55,-0.239,100.0,46.0,7.72,7.89,Good,Low
328,6.62,0.13,-0.26,42.0,24.0,6.2,5.46,Average,High
329,5.6,0.49,0.007,128.0,102.0,7.41,9.68,Average,Low
330,9.46,0.32,0.044,94.0,24.0,9.66,10.45,Excellent,Low
331,4.2,0.11,-0.094,84.0,40.0,5.41,7.95,Below Average,Low
332,7.95,0.2,-0.215,62.0,58.0,8.83,9.77,Good,Low
333,8.04,0.53,-0.184,128.0,78.0,7.09,5.52,Good,High
334,7.79,0.05,-0.02,62.0,38.0,8.25,9.0,Good,Low
335,7.87,0.37,0.73,46.0,110.0,9.81,10.62,Good,Low
336,6.77,0.26,0.047,126.0,84.0,7.69,9.06,Average,Low
337,8.05,0.19,-0.37,50.0,66.0,9.29,10.23,Good,Low
338,4.77,0.48,0.96,48.0,94.0,6.65,7.61,Below Average,Low
339,8.89,0.5,0.99,42.0,46.0,8.11,7.4,Excellent,High
340,5.56,0.5,-0.375,66.0,46.0,5.71,5.92,Average,Low
341,7.0,0.08,-0.16,42.0,26.0,6.62,6.0,Good,High
342,7.1,0.19,-0.115,62.0,106.0,6.48,6.12,Good,High
343,7.98,0.28,0.058,142.0,44.0,8.84,11.61,Good,Low
344,6.45,0.4,-0.121,116.0,42.0,8.43,13.91,Average,Low
345,7.0,0.25,-0.202,84.0,74.0,6.43,5.78,Average,High
346,6.64,0.59,1.19,44.0,86.0,6.07,5.78,Average,High
347,5.71,0.5,0.283,132.0,38.0,7.11,11.98,Average,Low
348,8.92,0.46,0.3,110.0,40.0,9.18,9.88,Excellent,Medium
349,8.28,0.14,0.022,134.0,44.0,7.8,6.35,Good,High
350,8.45,0.45,-0.36,64.0,20.0,8.96,10.6,Good,Low
351,7.2,0.47,-0.222,130.0,66.0,8.31,10.5,Good,Low
352,8.02,0.44,0.244,86.0,118.0,9.06,9.82,Good,Low
353,7.26,0.31,0.238,92.0,72.0,8.68,10.49,Good,Low
354,5.39,0.17,0.064,118.0,20.0,6.12,10.41,Below Average,Low
355,6.06,0.43,-0.045,142.0,76.0,7.13,9.13,Average,Low
356,5.73,0.35,0.03,84.0,86.0,7.17,8.58,Average,Low
357,8.87,0.16,0.08,68.0,80.0,9.52,10.07,Excellent,Low
358,8.39,0.03,0.025,62.0,62.0,7.59,6.79,Good,High
359,8.43,0.06,0.02,82.0,78.0,7.51,6.55,Good,High
360,8.33,0.35,0.71,42.0,70.0,8.77,9.04,Good,High
361,5.98,0.29,0.167,88.0,24.0,5.38,3.19,Average,High
362,7.88,0.29,0.24,82.0,94.0,7.32,6.83,Good,High
363,8.77,0.47,0.575,68.0,24.0,7.83,5.18,Excellent,High
364,7.49,0.57,0.48,86.0,40.0,8.49,10.65,Good,Low
365,4.77,0.3,0.02,122.0,62.0,5.86,8.0,Below Average,Low
366,4.61,0.4,0.8,50.0,108.0,5.65,6.13,Below Average,Medium
367,5.46,0.47,0.031,142.0,58.0,7.24,11.6,Below Average,Low
368,6.65,0.41,-0.157,120.0,18.0,7.3,11.62,Average,Low
369,5.17,0.38,-0.211,104.0,108.0,5.62,6.05,Below Average,Low
370,6.37,0.21,-0.091,82.0,20.0,6.72,8.14,Average,Low
371,7.43,0.26,-0.037,78.0,42.0,6.96,6.1,Good,High
372,7.22,0.61,0.404,106.0,76.0,6.98,6.65,Good,High
